Date,Open,High,Low,Close,Adj Close,Volume
01/06/2020,171.600006,181.731995,170.820007,177.132004,177.132004,265771000
08/06/2020,183.800003,205.496002,181.832001,187.056,187.056,384031000
15/06/2020,183.557999,203.839996,181.699997,200.179993,200.179993,290353500
22/06/2020,199.990005,202.399994,187.429993,191.947998,191.947998,208983500
29/06/2020,193.802002,245.600006,189.703995,241.731995,241.731995,282609500
06/07/2020,255.337997,309.783997,253.207993,308.929993,308.929993,467130500
13/07/2020,331.799988,358.997986,286.200012,300.167999,300.167999,512010500
20/07/2020,303.802002,337.799988,273.308014,283.399994,283.399994,455574000
27/07/2020,287,312.940002,282.600006,286.152008,286.152008,305567500
03/08/2020,289.839996,305.481995,283.002014,290.541992,290.541992,185304000
10/08/2020,289.600006,333.76001,273,330.141998,330.141998,354902000
17/08/2020,335.399994,419.097992,334.56601,409.996002,409.996002,455117500
24/08/2020,425.256012,463.697998,385.503998,442.679993,442.679993,443680500
31/08/2020,444.609985,502.48999,372.019989,418.320007,418.320007,502309600
07/09/2020,356,398.98999,329.880005,372.720001,372.720001,340579600
14/09/2020,380.950012,461.940002,373.299988,442.149994,442.149994,415784100
21/09/2020,453.130005,455.679993,351.299988,407.339996,407.339996,447901400
28/09/2020,424.619995,448.880005,411.600006,415.089996,415.089996,270256000
05/10/2020,423.350006,439,406.049988,434,434,206343600
12/10/2020,442,465.899994,436.600006,439.670013,439.670013,189582800
19/10/2020,446.23999,447,407.380005,420.630005,420.630005,174024800
26/10/2020,411.630005,430.5,379.109985,388.040009,388.040009,141543700
02/11/2020,394,440,392.299988,429.950012,429.950012,145636400
09/11/2020,439.5,452.5,396.029999,408.5,408.5,122101100
16/11/2020,408.929993,508.609985,404.089996,489.609985,489.609985,261458100
23/11/2020,503.5,598.780029,501.790009,585.76001,585.76001,190400100
30/11/2020,602.210022,607.799988,541.210022,599.039978,599.039978,222835600
07/12/2020,604.919983,654.320007,566.340027,609.98999,609.98999,305424100
14/12/2020,619,695,605,695,695,417604200
21/12/2020,666.23999,668.5,614.22998,661.77002,661.77002,165799900
28/12/2020,674.51001,696.599976,655,694.780029,694.780029,98035400
